,Leaf number,Spot,Leaf weight (mg),Mean leaf weight (mg),A647,Unnamed: 5,Unnamed: 6,A664,Unnamed: 8,Unnamed: 9,Average,Unnamed: 11,Chlorophyll a (µg),Chlorophyll b (µg),Total Chlorophyll (µg),Avg Chlorophyll a ,Avg Chlorophyll b,Avg Total Chlorophyll,Chlorophyll a STD,Chlorophyll b STD,Total Chlorophyll STD,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),STD Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),STD Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg),STD Chlorophyll b (µg/mg),Avg Total Chlorophyll (µg/cm2),STD Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),STD Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),STD Chlorophyll b (µg/cm2)
147,50,A,4.4,4.5,0.0256,0.0253,0.0253,0.0652,0.0648,0.0644,0.0254,0.0648,2.972504,0.911696,3.8842,2.997747556,0.859566222,3.857313778,0.093095273,0.072262044,0.148749665,0.882772727,0.675569091,0.207203636,13.73770956,10.51320648,3.224503077,0.859148762,0.038734419,0.667868941,0.031894933,0.191279821,0.013894877,13.64261787,0.526100533,10.60248835,0.329261064,3.040129526,0.25557772
148,50,B,4.9,,0.0244,0.0259,0.0271,0.0667,0.0675,0.0681,0.0258,0.067433333,3.100861333,0.889925333,3.990786667,,,,,,,0.814446259,0.632828844,0.181617415,14.11468723,10.96718304,3.147504185,0.859148762,0.038734419,0.667868941,0.031894933,0.191279821,0.013894877,13.64261787,0.526100533,10.60248835,0.329261064,3.040129526,0.25557772
149,50,C,4.2,,0.0224,0.0247,0.0237,0.0627,0.0643,0.063,0.0236,0.063333333,2.919877333,0.777077333,3.696954667,,,,,,,0.880227302,0.695208889,0.185018413,13.07545684,10.32707552,2.748381316,0.859148762,0.038734419,0.667868941,0.031894933,0.191279821,0.013894877,13.64261787,0.526100533,10.60248835,0.329261064,3.040129526,0.25557772
150,51,A,4.8,4.6,0.0281,0.0279,0.0276,0.0743,0.0732,0.0723,0.027866667,0.073266667,3.371077333,0.951541333,4.322618667,3.420592444,0.957876444,4.378468889,0.043933934,0.008131188,0.050809151,0.900545556,0.702307778,0.198237778,15.28831671,11.92288793,3.36542878,0.952980963,0.045541862,0.744524815,0.036622688,0.208456148,0.008949295,15.4858488,0.179702734,12.09801388,0.15538634,3.387834917,0.028758536
151,51,B,4.5,,0.0279,0.0283,0.0285,0.0751,0.0745,0.0743,0.028233333,0.074633333,3.435790667,0.955042667,4.390833333,,,,,,,0.975740741,0.763509037,0.212231704,15.52957959,12.15176723,3.37781236,0.952980963,0.045541862,0.744524815,0.036622688,0.208456148,0.008949295,15.4858488,0.179702734,12.09801388,0.15538634,3.387834917,0.028758536
152,51,C,4.5,,0.0267,0.029,0.0297,0.0741,0.0756,0.0755,0.028466667,0.075066667,3.454909333,0.967045333,4.421954667,,,,,,,0.982656593,0.76775763,0.214898963,15.63965009,12.21938648,3.420263611,0.952980963,0.045541862,0.744524815,0.036622688,0.208456148,0.008949295,15.4858488,0.179702734,12.09801388,0.15538634,3.387834917,0.028758536
153,52,A,4.5,4.8,0.0273,0.0274,0.027,0.0722,0.0712,0.0709,0.027233333,0.071433333,3.285958667,0.933682667,4.219641333,3.298257333,0.920434667,4.218692,0.110117642,0.017235023,0.122465426,0.937698074,0.730213037,0.207485037,14.9241046,11.62183867,3.302265922,0.883898469,0.070694728,0.690797827,0.051727897,0.193100642,0.018966949,14.92074698,0.433137958,11.66533682,0.38946609,3.255410153,0.060957145
154,52,B,5.4,,0.0264,0.0283,0.0287,0.0735,0.0743,0.0745,0.0278,0.0741,3.414008,0.926672,4.34068,,,,,,,0.80382963,0.632223704,0.171605926,15.35219636,12.0747259,3.277470468,0.883898469,0.070694728,0.690797827,0.051727897,0.193100642,0.018966949,14.92074698,0.433137958,11.66533682,0.38946609,3.255410153,0.060957145
155,52,C,4.5,,0.0265,0.0263,0.0264,0.0701,0.0692,0.069,0.0264,0.069433333,3.194805333,0.900949333,4.095754667,,,,,,,0.910167704,0.709956741,0.200210963,14.48593997,11.2994459,3.18649407,0.883898469,0.070694728,0.690797827,0.051727897,0.193100642,0.018966949,14.92074698,0.433137958,11.66533682,0.38946609,3.255410153,0.060957145
156,53,A,5.4,5.366666667,0.0709,0.0708,0.0708,0.1971,0.1953,0.1943,0.070833333,0.195566667,9.040684,2.20964,11.250324,9.214062667,2.286861333,11.500924,0.200810938,0.10083037,0.301162454,2.083393333,1.674200741,0.409192593,39.79035156,31.97525642,7.81509514,2.14309846,0.054990788,1.716985063,0.038054772,0.426113397,0.017765326,40.67667822,1.065156871,32.58846526,0.710231795,8.088212964,0.356618697
157,53,B,5.3,,0.0721,0.072,0.0717,0.2004,0.198,0.1966,0.071933333,0.198333333,9.167410667,2.250010667,11.41742133,,,,,,,2.15423044,1.729700126,0.424530314,40.38134446,32.42346561,7.957878852,2.14309846,0.054990788,1.716985063,0.038054772,0.426113397,0.017765326,40.67667822,1.065156871,32.58846526,0.710231795,8.088212964,0.356618697
158,53,C,5.4,,0.075,0.0749,0.0751,0.2059,0.2039,0.2032,0.075,0.204333333,9.434093333,2.400933333,11.83502667,,,,,,,2.191671605,1.747054321,0.444617284,41.85833864,33.36667374,8.491664898,2.14309846,0.054990788,1.716985063,0.038054772,0.426113397,0.017765326,40.67667822,1.065156871,32.58846526,0.710231795,8.088212964,0.356618697
159,54,A,5.1,5,0.079,0.0793,0.0775,0.2199,0.2176,0.2158,0.0786,0.217766667,10.07022667,2.434970667,12.50519733,10.23676711,2.466476444,12.70324356,0.218754899,0.06213038,0.279187898,2.451999477,1.974554248,0.477445229,44.2286105,35.61656174,8.612048761,2.54222902,0.085177944,2.048694379,0.070860683,0.493534641,0.014475525,44.929064,0.98743686,36.20558503,0.773696324,8.723478972,0.219743862
160,54,B,4.8,,0.0792,0.0787,0.0789,0.2221,0.2187,0.2178,0.078933333,0.219533333,10.15556267,2.426410667,12.58197333,,,,,,,2.621244444,2.115742222,0.505502222,44.50015326,35.91837967,8.581773596,2.54222902,0.085177944,2.048694379,0.070860683,0.493534641,0.014475525,44.929064,0.98743686,36.20558503,0.773696324,8.723478972,0.219743862
161,54,C,5.1,,0.0819,0.082,0.0817,0.228,0.2266,0.2256,0.081866667,0.226733333,10.484512,2.538048,13.02256,,,,,,,2.553443137,2.055786667,0.497656471,46.05842824,37.08181368,8.976614558,2.54222902,0.085177944,2.048694379,0.070860683,0.493534641,0.014475525,44.929064,0.98743686,36.20558503,0.773696324,8.723478972,0.219743862
162,55,A,5.1,5.566666667,0.1043,0.1047,0.1047,0.283,0.2817,0.2807,0.104566667,0.2818,12.99719067,3.416562667,16.41375333,13.102032,3.433482667,16.53551467,0.116875385,0.194612431,0.287676955,3.218383007,2.548468758,0.669914248,58.0524628,45.96870152,12.08376129,2.981634854,0.211666109,2.363003607,0.173496121,0.618631247,0.046278915,58.48311051,1.017461113,46.33950626,0.413366999,12.14360425,0.688308804
163,55,B,5.6,,0.1009,0.1043,0.104,0.2835,0.2838,0.282,0.103066667,0.2831,13.08085867,3.247882667,16.32874133,,,,,,,2.915846667,2.335867619,0.579979048,57.75179081,46.26462003,11.48717078,2.981634854,0.211666109,2.363003607,0.173496121,0.618631247,0.046278915,58.48311051,1.017461113,46.33950626,0.413366999,12.14360425,0.688308804
164,55,C,6,,0.1078,0.1084,0.1085,0.2864,0.2883,0.287,0.108233333,0.287233333,13.22804667,3.636002667,16.86404933,,,,,,,2.810674889,2.204674444,0.606000444,59.64507793,46.78519724,12.85988069,2.981634854,0.211666109,2.363003607,0.173496121,0.618631247,0.046278915,58.48311051,1.017461113,46.33950626,0.413366999,12.14360425,0.688308804
165,56,A,5.8,6.066666667,0.0906,0.0906,0.0903,0.2451,0.243,0.2416,0.0905,0.243233333,11.21549733,2.971693333,14.18719067,11.19527911,2.927031111,14.12231022,0.036694317,0.127068463,0.105076186,2.446067356,1.933706437,0.51236092,50.17751527,39.66717597,10.5103393,2.33228204,0.131929032,1.848416113,0.09093997,0.483865927,0.042556736,49.94804493,0.371635376,39.59566779,0.129781131,10.35237713,0.449418064
