,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
76,26,B,2.043427879,1.717351758,0.326076121,39.7497819,33.40678598,6.342995921,40.363155785000004,33.932324165,6.430831624,2.1575672729999997,1.8138343104999999,0.34373296249999996
77,26,C,2.271706667,1.910316863,0.361389804,40.97652967,34.45786235,6.518667327,40.363155785000004,33.932324165,6.430831624,2.1575672729999997,1.8138343104999999,0.34373296249999996
78,27,A,2.417687619,1.985318095,0.432369524,47.88516187,39.32157223,8.563589635,47.84454505,39.72534012333333,8.119204923333333,2.430293183333333,2.017816669666667,0.41247651366666666
79,27,B,2.462254788,2.034920485,0.427334303,47.89701257,39.58429181,8.312720756,47.84454505,39.72534012333333,8.119204923333333,2.430293183333333,2.017816669666667,0.41247651366666666
80,27,C,2.410937143,2.033211429,0.377725714,47.75146071,40.27015633,7.481304379,47.84454505,39.72534012333333,8.119204923333333,2.430293183333333,2.017816669666667,0.41247651366666666
81,28,A,2.541616175,2.109935301,0.431680874,54.83433072,45.5209922,9.313338521,55.235288014999995,45.59085615,9.6444318695,2.5602008745,2.113173552,0.447027322
83,28,C,2.578785574,2.116411803,0.46237377,55.63624531,45.6607201,9.975525218,55.235288014999995,45.59085615,9.6444318695,2.5602008745,2.113173552,0.447027322
84,29,A,2.41566924,2.010121637,0.405547602,48.69956379,40.52377921,8.175784584,48.35992706333334,40.32876219,8.031164870666666,2.4143674086666667,2.013780246,0.4005871623333333
85,29,B,2.332204138,1.927547586,0.404656552,47.8417769,39.5408361,8.300940794,48.35992706333334,40.32876219,8.031164870666666,2.4143674086666667,2.013780246,0.4005871623333333
86,29,C,2.495228848,2.103671515,0.391557333,48.5384405,40.92167126,7.616769234,48.35992706333334,40.32876219,8.031164870666666,2.4143674086666667,2.013780246,0.4005871623333333
87,30,A,2.263415128,1.829077179,0.434337949,41.62749758,33.63939072,7.988106859,39.6042206,33.015429956666665,6.588790644,2.1538251616666666,1.795326564,0.35849859766666664
88,30,B,2.13193281,1.792183268,0.339749542,38.45532055,32.32699535,6.128325199,39.6042206,33.015429956666665,6.588790644,2.1538251616666666,1.795326564,0.35849859766666664
