,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
95,32,C,2.579436715,2.053616039,0.525820676,62.94869256,50.11654052,12.83215204,62.72111009,49.93079625666667,12.790313836666668,2.5579571583333336,2.036345119,0.5216120396666667
96,33,A,2.637491754,2.089868246,0.547623509,70.89530075,56.17528,14.72002075,66.17525484666668,52.405679346666666,13.769575503333334,2.5071222026666664,1.9853350293333332,0.5217871736666666
97,33,B,2.578028889,2.035233333,0.542795556,65.64974181,51.82740327,13.82233854,66.17525484666668,52.405679346666666,13.769575503333334,2.5071222026666664,1.9853350293333332,0.5217871736666666
98,33,C,2.305845965,1.830903509,0.474942456,61.98072198,49.21435477,12.76636722,66.17525484666668,52.405679346666666,13.769575503333334,2.5071222026666664,1.9853350293333332,0.5217871736666666
99,34,A,2.663971144,2.120611542,0.543359602,63.1272783,50.25145835,12.87581995,59.75294459666667,47.92606320666667,11.826881391,2.4385371069999997,1.9561044003333332,0.4824327066666667
100,34,B,2.189244251,1.79901314,0.390231111,53.42641767,43.90319964,9.523218033,59.75294459666667,47.92606320666667,11.826881391,2.4385371069999997,1.9561044003333332,0.4824327066666667
101,34,C,2.462395926,1.948688519,0.513707407,62.70513782,49.62353163,13.08160619,59.75294459666667,47.92606320666667,11.826881391,2.4385371069999997,1.9561044003333332,0.4824327066666667
102,35,A,0.521237229,0.431880693,0.089356537,14.19511448,11.76162316,2.433491311,14.063178576666667,11.667127236666666,2.396051339,0.553468405,0.45918512466666667,0.09428328100000001
103,35,B,0.548835619,0.456540381,0.092295238,13.58792294,11.30290255,2.285020396,14.063178576666667,11.667127236666666,2.396051339,0.553468405,0.45918512466666667,0.09428328100000001
104,35,C,0.590332367,0.4891343,0.101198068,14.40649831,11.936856,2.46964231,14.063178576666667,11.667127236666666,2.396051339,0.553468405,0.45918512466666667,0.09428328100000001
105,36,A,1.175835926,0.922350741,0.253485185,29.94276956,23.4877461,6.455023461,29.857922079999998,23.40350537666667,6.4544166999999995,1.194256515,0.9360615963333334,0.25819491899999997
106,36,B,1.261130141,0.990705352,0.270424789,31.66875575,24.87800806,6.790747683,29.857922079999998,23.40350537666667,6.4544166999999995,1.194256515,0.9360615963333334,0.25819491899999997
107,36,C,1.145803478,0.895128696,0.250674783,27.96224093,21.84476197,6.117478956,29.857922079999998,23.40350537666667,6.4544166999999995,1.194256515,0.9360615963333334,0.25819491899999997
108,37,A,2.182922407,1.714570926,0.468351481,55.58831907,43.66170569,11.92661338,54.23312159666667,42.77621654666667,11.456905046666668,2.1597228446666663,1.7035330153333332,0.45618982933333335
109,37,B,2.108541784,1.66534892,0.443192864,52.94845677,41.81925915,11.12919761,54.23312159666667,42.77621654666667,11.456905046666668,2.1597228446666663,1.7035330153333332,0.45618982933333335
