Leaf No.,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
59,3,64,50,0.1486329879699453,0.1353790018648827,0.1735949414509351,0.1795983532912474,0.1593485766883868,0.1418477446176718,White LED,50 mA,b'OK Read',11:30:21,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,50,0.1582515100251959,0.1442122782588895,0.1858058204286007,0.1923822775430061,0.1704456931134887,0.1518822116358504,White LED,100 mA,b'OK Read',11:30:22,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,100,0.1460186809768887,0.1327032704886992,0.1710544862048565,0.1770593175531494,0.1571697210231642,0.1394544919735978,White LED,12.5 mA,b'OK Read',11:30:23,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,100,0.1460162107197064,0.1330582456348005,0.1711404382753032,0.1772103180163213,0.1571527824082017,0.1395210926772892,White LED,25 mA,b'OK Read',11:30:25,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,100,0.1479013763479161,0.1347863429124179,0.1726699822770825,0.1787954702471735,0.1585382041401334,0.1410120152537649,White LED,50 mA,b'OK Read',11:30:26,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,100,0.1582977070359602,0.1442021320190219,0.1856284720148544,0.1921992741887926,0.1703771509050688,0.1517395438538885,White LED,100 mA,b'OK Read',11:30:27,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,150,0.1458241968734668,0.1327134541941667,0.1710509767689323,0.1770451438929125,0.156977240012709,0.1393200894639007,White LED,12.5 mA,b'OK Read',11:30:28,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,150,0.1460411716177583,0.1329991461858462,0.1711581703241133,0.1772177317731262,0.1571445626106842,0.1395410059140742,White LED,25 mA,b'OK Read',11:30:30,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,150,0.1481017325746202,0.1344130646800959,0.1718272027404831,0.1779411877474489,0.1578701750421318,0.1407126076120664,White LED,50 mA,b'OK Read',11:30:31,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
59,3,64,150,0.1593066696993026,0.1443299956065561,0.1854781430836883,0.1921574900291649,0.1703868619989285,0.15219904189253,White LED,100 mA,b'OK Read',11:30:32,73.19187475,56.98039187999999,16.21148287,3.2866169013333333,2.559007782333333,0.7276091189999999
