,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
18,7,A,2.222570556,1.765336111,0.457234444,37.7319752,29.96963052,7.762344675,36.44570198,29.23265505,7.213046929666667,2.1326807973333337,1.7105445086666666,0.42213628833333333
19,7,B,2.141773333,1.72748,0.414293333,36.36030275,29.32695763,7.033345123,36.44570198,29.23265505,7.213046929666667,2.1326807973333337,1.7105445086666666,0.42213628833333333
20,7,C,2.033698503,1.638817415,0.394881088,35.24482799,28.401377,6.843450991,36.44570198,29.23265505,7.213046929666667,2.1326807973333337,1.7105445086666666,0.42213628833333333
21,8,A,2.081434771,1.578988758,0.502446013,37.54444837,28.48144114,9.063007239,37.14803392333333,28.630221723333335,8.517812203,1.9974501403333333,1.5388266443333334,0.458623496
22,8,B,2.052160256,1.581058205,0.471102051,37.74221311,29.07796091,8.664252199,37.14803392333333,28.630221723333335,8.517812203,1.9974501403333333,1.5388266443333334,0.458623496
23,8,C,1.858755394,1.45643297,0.402322424,36.15744029,28.33126312,7.826177171,37.14803392333333,28.630221723333335,8.517812203,1.9974501403333333,1.5388266443333334,0.458623496
24,9,A,3.743568366,2.958059869,0.785508497,67.52563722,53.35681309,14.16882413,70.5166034,55.43343786666667,15.083165533333334,4.077508378666667,3.204930490666667,0.872577888
25,9,B,4.116489252,3.235034014,0.881455238,71.3404447,56.06446441,15.27598029,70.5166034,55.43343786666667,15.083165533333334,4.077508378666667,3.204930490666667,0.872577888
26,9,C,4.372467518,3.421697589,0.950769929,72.68372828,56.8790361,15.80469218,70.5166034,55.43343786666667,15.083165533333334,4.077508378666667,3.204930490666667,0.872577888
27,10,A,3.854521093,2.948657923,0.905863169,83.159718,63.61609017,19.54362783,82.02300503666667,62.38617182666667,19.636833210000002,3.7612368519999997,2.8608636806666667,0.900373171
28,10,B,3.781210323,2.848910968,0.932299355,82.91541345,62.47169838,20.44371507,82.02300503666667,62.38617182666667,19.636833210000002,3.7612368519999997,2.8608636806666667,0.900373171
29,10,C,3.64797914,2.785022151,0.862956989,79.99388366,61.07072693,18.92315673,82.02300503666667,62.38617182666667,19.636833210000002,3.7612368519999997,2.8608636806666667,0.900373171
30,11,A,3.632718912,2.70938068,0.923338231,62.95650657,46.95467685,16.00182971,63.28068818666666,47.07241832,16.20826986333333,3.677654537,2.735591449333333,0.9420630876666666
31,11,B,3.855763611,2.854276389,1.001487222,65.45824904,48.45627314,17.0019759,63.28068818666666,47.07241832,16.20826986333333,3.677654537,2.735591449333333,0.9420630876666666
32,11,C,3.544481088,2.643117279,0.90136381,61.42730895,45.80630497,15.62100398,63.28068818666666,47.07241832,16.20826986333333,3.677654537,2.735591449333333,0.9420630876666666
33,12,A,3.357189851,2.437284179,0.919905672,79.55426187,57.75554927,21.7987126,77.04650994666666,56.32364402333334,20.722865923333334,3.251554375,2.3770016386666666,0.8745527363333334
34,12,B,3.179475294,2.332402353,0.847072941,76.46753908,56.09512626,20.37241282,77.04650994666666,56.32364402333334,20.722865923333334,3.251554375,2.3770016386666666,0.8745527363333334
35,12,C,3.21799798,2.361318384,0.856679596,75.11772889,55.12025654,19.99747235,77.04650994666666,56.32364402333334,20.722865923333334,3.251554375,2.3770016386666666,0.8745527363333334
36,13,A,0.180134048,0.149945952,0.030188095,3.567767796,2.969856877,0.597910919,3.3035533235,2.8669213175,0.43663200550000003,0.1974848575,0.1726591425,0.024825714
38,13,C,0.214835667,0.195372333,0.019463333,3.039338851,2.763985758,0.275353092,3.3035533235,2.8669213175,0.43663200550000003,0.1974848575,0.1726591425,0.024825714
39,14,A,0.301600667,0.239567333,0.062033333,4.266827002,3.389224494,0.877602509,3.784876565,3.2668034240000003,0.5180731416666666,0.2717835206666667,0.23476665466666669,0.037016865333333336
40,14,B,0.258778667,0.233573333,0.025205333,3.661012473,3.304425739,0.356586735,3.784876565,3.2668034240000003,0.5180731416666666,0.2717835206666667,0.23476665466666669,0.037016865333333336
41,14,C,0.254971228,0.231159298,0.02381193,3.42679022,3.106760039,0.320030181,3.784876565,3.2668034240000003,0.5180731416666666,0.2717835206666667,0.23476665466666669,0.037016865333333336
42,15,A,1.781913846,1.446258462,0.335655385,32.7719884,26.59879748,6.173190917,32.35809420333334,26.419034370000002,5.939059834999999,1.844876867,1.506538345,0.3383385223333333
43,15,B,1.942510355,1.593911773,0.348598582,32.2904388,26.49566858,5.794770225,32.35809420333334,26.419034370000002,5.939059834999999,1.844876867,1.506538345,0.3383385223333333
44,15,C,1.8102064,1.4794448,0.3307616,32.01185541,26.16263705,5.849218363,32.35809420333334,26.419034370000002,5.939059834999999,1.844876867,1.506538345,0.3383385223333333
45,16,A,2.100413611,1.684946389,0.415467222,35.65815001,28.60487609,7.053273915,35.12187875666667,28.32920704333333,6.792671712666667,2.027313063,1.635158273,0.39215479033333334
46,16,B,1.996193333,1.610680267,0.385513067,35.30086534,28.48341704,6.817448304,35.12187875666667,28.32920704333333,6.792671712666667,2.027313063,1.635158273,0.39215479033333334
