,Leaf No.,Spot,Total Chlorophyll (µg/mg),Chlorophyll a (µg/mg),Chlorophyll b (µg/mg),Total Chlorophyll (µg/cm2),Chlorophyll a (µg/cm2),Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
46,16,B,0.945982222,0.823271111,0.122711111,8.029841315,6.988224753,1.041616562,7.952168069666667,6.941628350999999,1.0105397186666665,0.9117851996666667,0.796262664,0.11552253566666666
47,16,C,0.901672821,0.774684103,0.126988718,8.291537573,7.123783924,1.167753649,7.952168069666667,6.941628350999999,1.0105397186666665,0.9117851996666667,0.796262664,0.11552253566666666
48,17,A,2.278597667,1.839674333,0.438923333,32.23594351,26.02637523,6.209568272,32.240294580000004,26.13324059,6.107053987333333,2.2499515666666667,1.8233960056666667,0.42655556066666667
49,17,B,2.401764912,1.943700351,0.458064561,32.27950296,26.12315673,6.156346231,32.240294580000004,26.13324059,6.107053987333333,2.2499515666666667,1.8233960056666667,0.42655556066666667
50,17,C,2.069492121,1.686813333,0.382678788,32.20543727,26.25018981,5.955247459,32.240294580000004,26.13324059,6.107053987333333,2.2499515666666667,1.8233960056666667,0.42655556066666667
51,18,A,2.028384946,1.661669247,0.366715699,22.23948976,18.21876872,4.020721039,21.790697383333335,17.846340180000002,3.9443572026666662,2.183246786,1.786886547,0.396360239
52,18,B,1.920084301,1.584101505,0.335982796,21.05206668,17.36830539,3.683761288,21.790697383333335,17.846340180000002,3.9443572026666662,2.183246786,1.786886547,0.396360239
53,18,C,2.601271111,2.114888889,0.486382222,22.08053571,17.95194643,4.128589281,21.790697383333335,17.846340180000002,3.9443572026666662,2.183246786,1.786886547,0.396360239
54,19,A,2.960553333,2.390630667,0.569922667,41.88375657,33.82090495,8.062851619,42.332490783333334,34.08798503333333,8.244505749333333,2.920105967,2.3514395473333334,0.5686664203333334
55,19,B,2.860172698,2.304673016,0.555499683,42.48682653,34.23508052,8.251746009,42.332490783333334,34.08798503333333,8.244505749333333,2.920105967,2.3514395473333334,0.5686664203333334
56,19,C,2.93959187,2.359014959,0.580576911,42.62688925,34.20796963,8.41891962,42.332490783333334,34.08798503333333,8.244505749333333,2.920105967,2.3514395473333334,0.5686664203333334
57,20,A,3.171580163,2.534753496,0.636826667,45.99094103,36.75634623,9.234594799,46.77751998333334,37.38856900333334,9.388950979666667,3.034177937666666,2.4251721756666664,0.6090057619999999
58,20,B,2.889766377,2.309426667,0.58033971,47.01466129,37.57290326,9.441758034,46.77751998333334,37.38856900333334,9.388950979666667,3.034177937666666,2.4251721756666664,0.6090057619999999
59,20,C,3.041187273,2.431336364,0.609850909,47.32695763,37.83645752,9.490500106,46.77751998333334,37.38856900333334,9.388950979666667,3.034177937666666,2.4251721756666664,0.6090057619999999
60,21,A,3.173173704,2.542204074,0.63096963,40.40257952,32.36872981,8.033849709,40.39720041333334,32.52003332666666,7.8771670873333335,2.8494563139999998,2.293190763666667,0.5562655503333334
61,21,B,2.66468,2.152614884,0.512065116,40.5253024,32.73765297,7.787649431,40.39720041333334,32.52003332666666,7.8771670873333335,2.8494563139999998,2.293190763666667,0.5562655503333334
62,21,C,2.710515238,2.184753333,0.525761905,40.26371932,32.4537172,7.810002122,40.39720041333334,32.52003332666666,7.8771670873333335,2.8494563139999998,2.293190763666667,0.5562655503333334
63,22,A,0.825970909,0.716002424,0.109968485,9.640319728,8.356822522,1.283497206,9.834843474333333,8.371776504333333,1.4630669713333333,0.8702122626666666,0.7404787623333334,0.12973350033333333
64,22,B,0.945238796,0.790880946,0.154357849,10.36372733,8.671326778,1.692400556,9.834843474333333,8.371776504333333,1.4630669713333333,0.8702122626666666,0.7404787623333334,0.12973350033333333
65,22,C,0.839427083,0.714552917,0.124874167,9.500483365,8.087180213,1.413303152,9.834843474333333,8.371776504333333,1.4630669713333333,0.8702122626666666,0.7404787623333334,0.12973350033333333
66,23,A,2.564593333,2.089294667,0.475298667,27.21150173,22.1683667,5.043135036,28.048259490000003,22.75448508,5.2937744140000005,2.626493391,2.1305919309999997,0.4959014606666667
67,23,B,2.43126303,1.971956364,0.459306667,28.37648723,23.01568933,5.360797906,28.048259490000003,22.75448508,5.2937744140000005,2.626493391,2.1305919309999997,0.4959014606666667
68,23,C,2.88362381,2.330524762,0.553099048,28.55678951,23.07939921,5.4773903,28.048259490000003,22.75448508,5.2937744140000005,2.626493391,2.1305919309999997,0.4959014606666667
69,24,A,1.868588085,1.496940426,0.37164766,31.06162552,24.88370942,6.177916107,31.58517208666667,25.31606580333333,6.269106285333333,1.9300336463333334,1.546974847666667,0.383058799
70,24,B,1.885385278,1.511108056,0.374277222,32.00767254,25.65367004,6.354002499,31.58517208666667,25.31606580333333,6.269106285333333,1.9300336463333334,1.546974847666667,0.383058799
71,24,C,2.036127576,1.632876061,0.403251515,31.6862182,25.41081795,6.27540025,31.58517208666667,25.31606580333333,6.269106285333333,1.9300336463333334,1.546974847666667,0.383058799
72,25,A,2.755881441,2.233056937,0.522824505,36.06409186,29.22229139,6.841800476,35.80126854,28.92993799,6.871330551,2.7862744310000003,2.251448732,0.5348256993333333
73,25,B,2.780335556,2.264268889,0.516066667,35.40074981,28.82990734,6.57084247,35.80126854,28.92993799,6.871330551,2.7862744310000003,2.251448732,0.5348256993333333
74,25,C,2.822606296,2.25702037,0.565585926,35.93896395,28.73761524,7.201348707,35.80126854,28.92993799,6.871330551,2.7862744310000003,2.251448732,0.5348256993333333
75,26,A,1.872596889,1.518997778,0.353599111,19.86910471,16.11725732,3.751847398,20.747571776666664,16.864934413333334,3.8826373659999995,1.8343721616666666,1.4909973736666666,0.343374788
76,26,B,1.72252202,1.415514343,0.307007677,20.10441631,16.52117611,3.583240197,20.747571776666664,16.864934413333334,3.8826373659999995,1.8343721616666666,1.4909973736666666,0.343374788
77,26,C,1.907997576,1.53848,0.369517576,22.26919431,17.95636981,4.312824503,20.747571776666664,16.864934413333334,3.8826373659999995,1.8343721616666666,1.4909973736666666,0.343374788
78,27,A,2.44330303,2.011077576,0.432225455,28.5170121,23.47229257,5.04471953,29.14193016,24.117611,5.024319162333334,2.4237723973333334,2.005738045333333,0.41803435233333336
79,27,B,2.421815686,2.009939608,0.411876078,29.12277475,24.16988989,4.952884865,29.14193016,24.117611,5.024319162333334,2.4237723973333334,2.005738045333333,0.41803435233333336
80,27,C,2.406198476,1.996196952,0.410001524,29.78600363,24.71065054,5.075353092,29.14193016,24.117611,5.024319162333334,2.4237723973333334,2.005738045333333,0.41803435233333336
81,28,A,2.351289841,1.929868254,0.421421587,34.92755653,28.66749192,6.260064606,35.285204310000005,28.85770201,6.427502299,2.418592552,1.9779060929999999,0.440686459
82,28,B,2.58774735,2.110804444,0.476942906,35.6943293,29.11557379,6.578755512,35.285204310000005,28.85770201,6.427502299,2.418592552,1.9779060929999999,0.440686459
83,28,C,2.316740465,1.893045581,0.423694884,35.2337271,28.79004032,6.443686779,35.285204310000005,28.85770201,6.427502299,2.418592552,1.9779060929999999,0.440686459
84,29,A,2.347141769,1.89294966,0.454192109,40.67692816,32.80559289,7.871335267,41.190247813333336,33.20720567666667,7.983042135333332,2.3147020973333334,1.8660459996666667,0.448656098
85,29,B,2.334090933,1.877083467,0.457007467,41.27627738,33.19451557,8.081761807,41.190247813333336,33.20720567666667,7.983042135333332,2.3147020973333334,1.8660459996666667,0.448656098
86,29,C,2.26287359,1.828104872,0.434768718,41.6175379,33.62150857,7.996029332,41.190247813333336,33.20720567666667,7.983042135333332,2.3147020973333334,1.8660459996666667,0.448656098
87,30,A,2.283875862,1.866126897,0.417748966,23.42519629,19.14043998,4.284756313,25.071830419999998,20.50585461333333,4.565975808,2.362691151,1.932354299,0.4303368523333333
88,30,B,2.305952258,1.889,0.416952258,25.28277569,20.71125416,4.571521539,25.071830419999998,20.50585461333333,4.565975808,2.362691151,1.932354299,0.4303368523333333
89,30,C,2.498245333,2.041936,0.456309333,26.50751928,21.6658697,4.841649572,25.071830419999998,20.50585461333333,4.565975808,2.362691151,1.932354299,0.4303368523333333
90,31,A,2.547619394,2.063115152,0.484504242,29.73454057,24.07964915,5.65489142,31.280128583333333,25.350311633333334,5.92981695,2.8969486156666666,2.3478389456666666,0.5491096693333334
91,31,B,3.043926897,2.468437241,0.575489655,31.22086723,25.31820047,5.902666761,31.280128583333333,25.350311633333334,5.92981695,2.8969486156666666,2.3478389456666666,0.5491096693333334
92,31,C,3.099299556,2.511964444,0.587335111,32.88497795,26.65308528,6.231892669,31.280128583333333,25.350311633333334,5.92981695,2.8969486156666666,2.3478389456666666,0.5491096693333334
93,32,A,2.920095926,2.382464074,0.537631852,37.18025512,30.33483294,6.845422178,38.291608309999994,31.21586852333333,7.075739784333334,2.806308711666667,2.2877869273333333,0.5185217839999999
94,32,B,2.679519683,2.184114603,0.495405079,39.8032916,32.44422909,7.359062507,38.291608309999994,31.21586852333333,7.075739784333334,2.806308711666667,2.2877869273333333,0.5185217839999999
95,32,C,2.819310526,2.296782105,0.522528421,37.89127821,30.86854354,7.022734668,38.291608309999994,31.21586852333333,7.075739784333334,2.806308711666667,2.2877869273333333,0.5185217839999999
96,33,A,3.628806857,2.833529143,0.795277714,44.92050647,35.07587183,9.844634647,45.794416543333334,36.16824409,9.626172455333332,3.6315873736666666,2.8680551076666667,0.763532266
97,33,B,3.705592381,2.950389333,0.755203048,45.87102403,36.52246823,9.348555799,45.794416543333334,36.16824409,9.626172455333332,3.6315873736666666,2.8680551076666667,0.763532266
98,33,C,3.560362883,2.820246847,0.740116036,46.59171913,36.90639221,9.68532692,45.794416543333334,36.16824409,9.626172455333332,3.6315873736666666,2.8680551076666667,0.763532266
99,34,A,2.764747048,2.228862095,0.535884952,34.22442762,27.59078069,6.633646931,34.359721140000005,27.641778466666665,6.717942672,2.9290880213333335,2.3554742646666664,0.5736137563333333
100,34,B,3.221643111,2.572340889,0.649302222,34.18309872,27.29370682,6.889391903,34.359721140000005,27.641778466666665,6.717942672,2.9290880213333335,2.3554742646666664,0.5736137563333333
101,34,C,2.800873905,2.26521981,0.535654095,34.67163708,28.04084789,6.630789182,34.359721140000005,27.641778466666665,6.717942672,2.9290880213333335,2.3554742646666664,0.5736137563333333
102,35,A,2.223549425,1.812136092,0.411413333,22.80644173,18.58666855,4.219773172,22.909492036666666,18.77788152333333,4.131610510000001,2.183849364,1.7898875863333334,0.3939617776666666
103,35,B,2.100518667,1.74618,0.354338667,22.28745844,18.52776402,3.759694419,22.909492036666666,18.77788152333333,4.131610510000001,2.183849364,1.7898875863333334,0.3939617776666666
104,35,C,2.22748,1.811346667,0.416133333,23.63457594,19.219212,4.415363939,22.909492036666666,18.77788152333333,4.131610510000001,2.183849364,1.7898875863333334,0.3939617776666666
105,36,A,2.133532267,1.749091733,0.384440533,18.8647898,15.46554903,3.399240763,21.750201599999997,16.820244746666663,4.929956850666667,2.302413336666667,1.781709302,0.5207040343333333
106,36,B,2.261144286,1.85241,0.408734286,22.39231803,18.34458513,4.047732899,21.750201599999997,16.820244746666663,4.929956850666667,2.302413336666667,1.781709302,0.5207040343333333
107,36,C,2.512563457,1.743626173,0.768937284,23.99349697,16.65060008,7.34289689,21.750201599999997,16.820244746666663,4.929956850666667,2.302413336666667,1.781709302,0.5207040343333333
108,37,A,1.852513333,1.523712549,0.328800784,22.27681026,18.32292094,3.953889321,22.081816823333337,18.2699787,3.8118381236666665,1.8936375920000001,1.5667596246666669,0.32687796733333335
109,37,B,1.878850196,1.563276863,0.315573333,22.59351583,18.79868902,3.794826814,22.081816823333337,18.2699787,3.8118381236666665,1.8936375920000001,1.5667596246666669,0.32687796733333335
110,37,C,1.949549247,1.613289462,0.336259785,21.37512438,17.68832614,3.686798236,22.081816823333337,18.2699787,3.8118381236666665,1.8936375920000001,1.5667596246666669,0.32687796733333335
111,38,A,2.116442899,1.717769275,0.398673623,34.43318007,27.94701375,6.486166325,35.05737190666667,28.454830116666667,6.602541793666667,2.1382764206666667,1.735757594,0.40251882666666666
112,38,B,2.12273303,1.728699697,0.394033333,33.03397232,26.90202542,6.131946901,35.05737190666667,28.454830116666667,6.602541793666667,2.1382764206666667,1.735757594,0.40251882666666666
113,38,C,2.175653333,1.76080381,0.414849524,37.70496333,30.51545118,7.189512155,35.05737190666667,28.454830116666667,6.602541793666667,2.1382764206666667,1.735757594,0.40251882666666666
114,39,A,2.14890625,1.76271375,0.3861925,24.32093089,19.95007427,4.370856617,24.76033576,20.28088467666667,4.479451085666667,2.143342263333333,1.755555384,0.38778687900000003
115,39,B,2.130631373,1.746601569,0.384029804,25.62123034,21.003202,4.618028342,24.76033576,20.28088467666667,4.479451085666667,2.143342263333333,1.755555384,0.38778687900000003
116,39,C,2.150489167,1.757350833,0.393138333,24.33884605,19.88937776,4.449468298,24.76033576,20.28088467666667,4.479451085666667,2.143342263333333,1.755555384,0.38778687900000003
117,40,A,2.719040988,2.20964642,0.509394568,25.96523543,21.10081818,4.86441725,27.871352556666665,22.597818176666664,5.273534381666667,2.957234201,2.3975923143333335,0.5596418866666667
118,40,B,3.027078025,2.45736642,0.569711605,28.9068072,23.46639787,5.440409328,27.871352556666665,22.597818176666664,5.273534381666667,2.957234201,2.3975923143333335,0.5596418866666667
119,40,C,3.12558359,2.525764103,0.599819487,28.74201504,23.22623848,5.515776567,27.871352556666665,22.597818176666664,5.273534381666667,2.957234201,2.3975923143333335,0.5596418866666667
120,41,A,1.696909744,1.389235897,0.307673846,23.40647945,19.16255217,4.243927283,23.94511801333333,19.603433073333335,4.34168494,1.6803023856666668,1.3756862246666668,0.30461616033333333
121,41,B,1.583951746,1.293564444,0.290387302,23.52902785,19.21542996,4.313597887,23.94511801333333,19.603433073333335,4.34168494,1.6803023856666668,1.3756862246666668,0.30461616033333333
122,41,C,1.760045667,1.444258333,0.315787333,24.89984674,20.43231709,4.46752965,23.94511801333333,19.603433073333335,4.34168494,1.6803023856666668,1.3756862246666668,0.30461616033333333
