Leaf number,Read number,gain,integration time,610 nm,680 nm,730 nm,760 nm,810 nm,860 nm,led,led current,saturation check,time
89,1,64,50,0.13065755612826396,0.13212525266480976,0.5773788336019229,0.6897793713116374,0.23234758235171601,0.187803709955223,White LED,50 mA,b'OK Read',10:36:12
89,1,64,50,0.12888206088191023,0.13331602723347,0.5892951689730043,0.7065723117319909,0.2359144347815606,0.19011060360690096,White LED,100 mA,b'OK Read',10:36:13
89,1,64,100,0.13495297400414613,0.13289367808246955,0.5605808857855661,0.6680967781120768,0.244588232188116,0.19380241553747143,White LED,12.5 mA,b'OK Read',10:36:14
89,1,64,100,0.13546358831479163,0.1357608970383523,0.5824129913671267,0.6951115406984086,0.24360030742507877,0.1941962083441042,White LED,25 mA,b'OK Read',10:36:16
89,1,64,100,0.1303368047325152,0.1351168755593144,0.6037979712250673,0.7205743847460864,0.23951649719116863,0.191560664036915,White LED,50 mA,b'OK Read',10:36:17
89,1,64,100,0.12837400088830397,0.13609840515141625,0.6258066298702027,0.7480490862879162,0.24086227900613347,0.1915426000209635,White LED,100 mA,b'OK Read',10:36:18
89,1,64,150,0.13498591281941827,0.13708230600802132,0.5939879475160117,0.7057720116176464,0.2484086958974232,0.1964259906779864,White LED,12.5 mA,b'OK Read',10:36:19
89,1,64,150,0.13555500746044657,0.1395749719412436,0.618871888024606,0.7379689189854626,0.2504062090295049,0.19858173339686738,White LED,25 mA,b'OK Read',10:36:20
89,1,64,150,0.13040823645648608,0.13984414245278384,0.653098857440053,0.7851955580505267,0.2490418210946083,0.1968968625792186,White LED,50 mA,b'OK Read',10:36:21
89,1,64,150,0.12876110616777062,0.14190443392438173,0.6710699562642166,0.8170925833951223,0.2536181003415663,0.1998738409540402,White LED,100 mA,b'OK Read',10:36:22
89,1,64,200,0.1350958210330497,0.1423099134391598,0.6359968019463423,0.7718186379360428,0.26255023713161646,0.20360070417907836,White LED,12.5 mA,b'OK Read',10:36:23
89,1,64,200,0.1354489576311637,0.14263341324050066,0.6313629417992875,0.7677164312686856,0.2584219811739531,0.20261397627232106,White LED,25 mA,b'OK Read',10:36:24
89,1,64,200,0.1314876004447181,0.14100615253248072,0.6431101470657126,0.7876141199288006,0.2527958806018183,0.20063326766695194,White LED,50 mA,b'OK Read',10:36:26
89,1,64,200,0.13007479476774583,0.14234589548846593,0.6541016658431025,0.8096026360129012,0.256117873337224,0.20279650239046548,White LED,100 mA,b'OK Read',10:36:27
89,1,64,250,0.13503591172415488,0.1412417882312999,0.6242550370614697,0.7678626292570693,0.26137414450482627,0.2055639855600414,White LED,12.5 mA,b'OK Read',10:36:28
89,1,64,250,0.13549918821377402,0.14096583810082744,0.6168816583534898,0.7558777979850677,0.25598324547819856,0.20244268834668364,White LED,25 mA,b'OK Read',10:36:30
89,1,64,250,0.13219505418910332,0.13923832733114908,0.6213990416640041,0.7621668625663846,0.250824779776813,0.19875153230077605,White LED,50 mA,b'OK Read',10:36:32
