Leaf No.,Read number,gain,integration time,450 nm,500 nm,550 nm,570 nm,600 nm,650 nm,led,led current,saturation check,time,Avg Total Chlorophyll (µg/cm2),Avg Chlorophyll a (µg/cm2),Avg Chlorophyll b (µg/cm2),Avg Total Chlorophyll (µg/mg),Avg Chlorophyll a (µg/mg),Avg Chlorophyll b (µg/mg)
1,2,64,250,14636.757,10114.221,20692.803,19877.879,14800.428,5098.446,White LED,50 mA,b'OK Read',11:06:47,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,2,64,250,17883.106,12277.378,25308.857,24309.453,18077.875,6227.256,White LED,100 mA,b'OK Read',11:06:49,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,50,3770.18,2703.946,5496.324,5302.86,3936.334,1398.405,White LED,12.5 mA,b'OK Read',11:07:01,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,50,7358.312,5267.823,10799.419,10391.704,7679.156,2764.715,White LED,25 mA,b'OK Read',11:07:02,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,50,13941.446,9920.56,20487.764,19694.301,14489.863,5245.163,White LED,50 mA,b'OK Read',11:07:03,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,50,16801.38,11905.89,24728.094,23765.376,17458.633,6322.623,White LED,100 mA,b'OK Read',11:07:05,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,100,3770.181,2694.812,5474.855,5279.081,3919.815,1409.867,White LED,12.5 mA,b'OK Read',11:07:06,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,100,7361.248,5240.419,10748.428,10346.522,7650.836,2748.668,White LED,25 mA,b'OK Read',11:07:07,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,100,13935.574,9844.435,20299.901,19532.599,14388.386,5176.39,White LED,50 mA,b'OK Read',11:07:08,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,100,16877.725,11869.351,24623.425,23708.303,17444.474,6288.236,White LED,100 mA,b'OK Read',11:07:09,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,150,3766.266,2685.677,5455.174,5263.227,3906.442,1401.461,White LED,12.5 mA,b'OK Read',11:07:10,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,150,7358.312,5231.284,10702.803,10317.194,7625.664,2741.79,White LED,25 mA,b'OK Read',11:07:11,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,150,13923.828,9825.15,20197.918,19458.089,14329.39,5170.276,White LED,50 mA,b'OK Read',11:07:12,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,150,16944.279,11895.74,24611.797,23711.475,17442.9,6301.226,White LED,100 mA,b'OK Read',11:07:13,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,200,3767.244,2685.677,5450.701,5255.301,3900.935,1404.136,White LED,12.5 mA,b'OK Read',11:07:14,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,200,7358.312,5228.238,10693.411,10302.531,7620.158,2738.352,White LED,25 mA,b'OK Read',11:07:15,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,200,13920.892,9806.373,20146.928,19399.432,14293.99,5144.295,White LED,50 mA,b'OK Read',11:07:16,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,200,16981.962,11895.232,24622.085,23702.358,17444.474,6279.066,White LED,100 mA,b'OK Read',11:07:17,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,250,3767.831,2682.023,5449.09,5254.35,3903.295,1401.156,White LED,12.5 mA,b'OK Read',11:07:19,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,250,7359.486,5223.976,10688.849,10298.487,7616.854,2729.869,White LED,25 mA,b'OK Read',11:07:21,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,250,13920.306,9790.234,20125.994,19360.434,14276.527,5119.537,White LED,50 mA,b'OK Read',11:07:23,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
1,3,64,250,17006.92,11880.312,24619.67,23689.279,17442.586,6251.098,White LED,100 mA,b'OK Read',11:07:24,40.00646373333333,31.76276595,8.243697782666667,2.218415293,1.7612315036666668,0.4571837893333333
2,1,64,50,3558.768,2569.967,6038.443,5402.735,4436.636,1219.592,White LED,12.5 mA,b'OK Read',11:08:00,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,50,6953.106,5005.955,11856.817,10596.209,8670.318,2388.75,White LED,25 mA,b'OK Read',11:08:01,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,50,13189.76,9427.272,22516.68,20098.554,16368.354,4552.838,White LED,50 mA,b'OK Read',11:08:02,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,50,15826.537,11272.533,27062.957,24150.606,19648.631,5469.825,White LED,100 mA,b'OK Read',11:08:03,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,100,3567.577,2560.832,6011.604,5381.333,4422.476,1221.885,White LED,12.5 mA,b'OK Read',11:08:04,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,100,6964.851,4990.73,11805.827,10548.65,8639.64,2381.873,White LED,25 mA,b'OK Read',11:08:05,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,100,13189.76,9381.598,22307.349,19929.718,16257.438,4497.82,White LED,50 mA,b'OK Read',11:08:07,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,100,15923.434,11260.353,26982.444,24112.558,19648.631,5451.486,White LED,100 mA,b'OK Read',11:08:08,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,150,3570.514,2553.727,6000.87,5369.443,4416.183,1221.12,White LED,12.5 mA,b'OK Read',11:08:09,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,150,6974.639,4983.625,11785.251,10535.967,8634.133,2391.807,White LED,25 mA,b'OK Read',11:08:10,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,150,13211.292,9364.343,22264.408,19892.464,16229.906,4516.159,White LED,50 mA,b'OK Read',11:08:11,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,150,16006.629,11292.833,27032.541,24147.435,19672.232,5489.693,White LED,100 mA,b'OK Read',11:08:12,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,200,3576.386,2556.265,6000.87,5369.443,4418.936,1228.762,White LED,12.5 mA,b'OK Read',11:08:13,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,200,6989.809,4989.208,11780.33,10535.57,8634.92,2395.628,White LED,25 mA,b'OK Read',11:08:14,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,200,13226.462,9354.193,22216.101,19846.489,16203.159,4508.136,White LED,50 mA,b'OK Read',11:08:15,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,200,16068.779,11306.028,27040.144,24150.606,19689.93,5481.288,White LED,100 mA,b'OK Read',11:08:16,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,250,3579.91,2552.915,5994.429,5369.443,4419.644,1225.094,White LED,12.5 mA,b'OK Read',11:08:18,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,250,6995.388,4979.159,11765.569,10524.87,8632.56,2389.667,White LED,25 mA,b'OK Read',11:08:20,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,250,13234.391,9335.923,22168.867,19807.49,16180.504,4485.898,White LED,50 mA,b'OK Read',11:08:22,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,1,64,250,16109.594,11290.803,27013.576,24137.289,19692.998,5457.904,White LED,100 mA,b'OK Read',11:08:23,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,50,3958.102,2728.306,6183.365,5659.555,4729.265,1366.31,White LED,12.5 mA,b'OK Read',11:08:34,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,50,7722.41,5304.363,12130.56,11090.825,9236.698,2677.601,White LED,25 mA,b'OK Read',11:08:35,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,50,14610.918,10005.819,23021.225,21006.936,17411.434,5093.861,White LED,50 mA,b'OK Read',11:08:36,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,50,17553.068,11978.969,27712.425,25277.761,20932.425,6139.226,White LED,100 mA,b'OK Read',11:08:37,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,100,3955.166,2719.171,6153.844,5631.019,4708.025,1375.48,White LED,12.5 mA,b'OK Read',11:08:38,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,100,7716.538,5292.183,12071.517,11038.51,9196.579,2670.723,White LED,25 mA,b'OK Read',11:08:39,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,100,14602.109,9938.83,22811.894,20828.589,17291.079,5025.087,White LED,50 mA,b'OK Read',11:08:40,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,100,17623.539,11927.204,27567.502,25182.641,20885.227,6077.329,White LED,100 mA,b'OK Read',11:08:41,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,150,3946.357,2708.006,6131.479,5608.825,4694.653,1363.254,White LED,12.5 mA,b'OK Read',11:08:42,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,150,7708.708,5275.943,12033.944,10995.706,9167.474,2663.846,White LED,25 mA,b'OK Read',11:08:43,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,150,14579.598,9896.2,22715.278,20735.848,17216.349,5017.445,White LED,50 mA,b'OK Read',11:08:45,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,150,17678.35,11938.37,27588.971,25188.983,20883.652,6102.546,White LED,100 mA,b'OK Read',11:08:46,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,200,3946.357,2702.424,6121.639,5601.295,4687.966,1366.31,White LED,12.5 mA,b'OK Read',11:08:47,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,200,7703.325,5266.301,12013.817,10981.439,9155.281,2663.846,White LED,25 mA,b'OK Read',11:08:48,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,200,14571.278,9876.407,22657.578,20683.533,17169.543,5010.186,White LED,50 mA,b'OK Read',11:08:49,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,200,17704.286,11930.25,27572.871,25164.807,20866.348,6093.377,White LED,100 mA,b'OK Read',11:08:50,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,250,3947.532,2697.856,6116.808,5593.923,4690.562,1366.31,White LED,12.5 mA,b'OK Read',11:08:52,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,250,7702.444,5256.861,11993.151,10966.22,9144.19,2659.261,White LED,25 mA,b'OK Read',11:08:54,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,250,14562.763,9849.916,22589.68,20633.121,17133.908,4989.324,White LED,50 mA,b'OK Read',11:08:56,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,2,64,250,17722.197,11911.979,27513.828,25133.18,20845.58,6070.452,White LED,100 mA,b'OK Read',11:08:57,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
2,3,64,50,3282.758,2356.818,5920.357,5060.308,4469.675,1173.743,White LED,12.5 mA,b'OK Read',11:09:11,39.66614479,32.098935026666666,7.567209764666667,2.051445752,1.6602229703333335,0.391222782
