Leaf,Measurement Type,Integration Time,LED Current,Score
mango,raw,250,100 mA,0.8286699040435498
mango,raw,250,100 mA,0.8755787939511482
mango,raw,250,100 mA,0.8785729851358822
mango,raw,250,100 mA,0.8824458353679896
mango,reflectance,50,12.5 mA,0.9047152191427478
mango,reflectance,50,12.5 mA,0.905232370990402
mango,reflectance,50,12.5 mA,0.8938321715822602
mango,reflectance,50,12.5 mA,0.8994708199512297
mango,reflectance,50,12.5 mA,0.8796970028404332
mango,reflectance,50,12.5 mA,0.8881068641699035
mango,reflectance,50,12.5 mA,0.903028491193778
mango,reflectance,50,12.5 mA,0.8622683094777901
mango,reflectance,50,12.5 mA,0.9162794560244099
mango,reflectance,50,12.5 mA,0.840864834596397
mango,reflectance,50,25 mA,0.8880144693798278
mango,reflectance,50,25 mA,0.913716947283083
mango,reflectance,50,25 mA,0.8241482520535545
mango,reflectance,50,25 mA,0.9126035896142041
mango,reflectance,50,25 mA,0.8525580660641221
mango,reflectance,50,25 mA,0.8842068038163751
mango,reflectance,50,25 mA,0.8934446814525963
mango,reflectance,50,25 mA,0.9187907636535068
mango,reflectance,50,25 mA,0.8744638715882455
mango,reflectance,50,25 mA,0.9040858326535928
mango,reflectance,50,50 mA,0.8809140345770163
mango,reflectance,50,50 mA,0.8094735062797187
mango,reflectance,50,50 mA,0.9053365339221875
mango,reflectance,50,50 mA,0.8506421846287464
mango,reflectance,50,50 mA,0.8983998501138601
mango,reflectance,50,50 mA,0.8136611035545105
mango,reflectance,50,50 mA,0.925106917972796
mango,reflectance,50,50 mA,0.8639388400172587
mango,reflectance,50,50 mA,0.8427828767582968
mango,reflectance,50,50 mA,0.8958329744151753
mango,reflectance,50,100 mA,0.8653957264393844
mango,reflectance,50,100 mA,0.8798205719922552
mango,reflectance,50,100 mA,0.7953695133295208
mango,reflectance,50,100 mA,0.8371722068268064
mango,reflectance,50,100 mA,0.8326969118196299
mango,reflectance,50,100 mA,0.8987119617143849
mango,reflectance,50,100 mA,0.9154351482405321
mango,reflectance,50,100 mA,0.8994949074281684
mango,reflectance,50,100 mA,0.8140461352792703
mango,reflectance,50,100 mA,0.8768150583998636
mango,reflectance,100,12.5 mA,0.8577467302970856
mango,reflectance,100,12.5 mA,0.9154893510954489
mango,reflectance,100,12.5 mA,0.9040657024181706
mango,reflectance,100,12.5 mA,0.888557168129669
mango,reflectance,100,12.5 mA,0.8849874509079113
mango,reflectance,100,12.5 mA,0.8839204708690749
mango,reflectance,100,12.5 mA,0.8822080568093852
mango,reflectance,100,12.5 mA,0.9275671331597681
mango,reflectance,100,12.5 mA,0.8817711220563175
mango,reflectance,100,12.5 mA,0.9023858374020434
mango,reflectance,100,25 mA,0.9026765268529099
mango,reflectance,100,25 mA,0.8696391298667341
mango,reflectance,100,25 mA,0.9099315975469268
mango,reflectance,100,25 mA,0.8819548643910484
mango,reflectance,100,25 mA,0.8696952956395658
mango,reflectance,100,25 mA,0.9016387338585476
mango,reflectance,100,25 mA,0.8899223307129911
mango,reflectance,100,25 mA,0.8721820541944977
mango,reflectance,100,25 mA,0.9122539249077859
mango,reflectance,100,25 mA,0.8768970784940033
mango,reflectance,100,50 mA,0.8305959143523142
mango,reflectance,100,50 mA,0.8013756131161683
mango,reflectance,100,50 mA,0.8493587748432037
mango,reflectance,100,50 mA,0.8651399716396697
mango,reflectance,100,50 mA,0.8640845905960026
mango,reflectance,100,50 mA,0.9100708308447105
mango,reflectance,100,50 mA,0.9090846359231425
mango,reflectance,100,50 mA,0.8141479811579031
mango,reflectance,100,50 mA,0.8594945750955658
mango,reflectance,100,50 mA,0.8878528155911125
mango,reflectance,100,100 mA,0.847038736503828
mango,reflectance,100,100 mA,0.9015700430421513
mango,reflectance,100,100 mA,0.8597838371257026
